,1,2,3,4,5,6,7,8,9,10
Solver Status,ok,ok,ok,ok,ok,ok,ok,failed,ok,ok
Termination Condition,optimal,optimal,optimal,optimal,optimal,optimal,optimal,infeasible,optimal,optimal
"x[ccg,cc,ccg_tk,1]",0.0,4956.52173913042,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[ccg,cc,ccg_tk,2]",0.0,0.0,0.0,-8.87001108127235e-13,0.0,0.0,0.0,0,0.0,0.0
"x[ccg,cc,ccg_tk,3]",0.0,0.0,0.0,6.89626392427833e-12,0.0,0.0,0.0,0,0.0,0.0
"x[ccg,cc,ccg_tk,4]",3.54800443250894e-12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[ccg,cc,ccg_tk,5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.54800443250894e-12,0.0
"x[ccg,ccg_sp,pg_tk,1]",11931.8363276091,0.0,11931.8363276091,5987.79790517089,0.0,2151.9289028445,11931.8363276091,0,8959.81711639001,11931.8363276091
"x[ccg,ccg_sp,pg_tk,2]",2506.219924816,0.0,8959.81711638997,2506.21992481602,8959.81711639004,0.0,2506.21992481601,0,2506.219924816,7925.42134372188
"x[ccg,ccg_sp,pg_tk,3]",0.0,0.0,2506.219924816,2506.219924816,2506.219924816,2506.21992481599,0.0,0,10711.5784981964,2506.2199248159
"x[ccg,ccg_sp,pg_tk,4]",11931.8363276091,11931.8363276091,13963.0657864862,13963.0657864862,13963.0657864862,13963.0657864862,11931.8363276091,0,0.0,0.0
"x[ccg,ccg_sp,pg_tk,5]",11931.8363276091,11931.8363276091,13963.0657864861,13963.0657864862,13963.0657864862,13963.0657864862,11931.8363276091,0,11931.836327609,11931.8363276091
"x[ccg,ccg_sp,rg_tk,1]",8708.16367239087,15683.4782608696,8708.16367239092,14652.2020948291,0.0,18488.0710971555,8708.1636723909,0,11680.18288361,8708.16367239087
"x[ccg,ccg_sp,rg_tk,2]",18133.780075184,0.0,11680.18288361,18133.780075184,11680.18288361,0.0,18133.780075184,0,18133.780075184,12714.5786562781
"x[ccg,ccg_sp,rg_tk,3]",-1.76498318245833e-12,4956.52173913043,18133.780075184,18133.780075184,18133.780075184,18133.780075184,-1.31123157358941e-11,0,9928.42150180358,18133.7800751841
"x[ccg,ccg_sp,rg_tk,4]",8708.16367239092,8708.16367239091,6676.93421351381,6676.93421351384,6676.93421351381,6676.93421351383,8708.1636723909,0,0.0,-4.48066195728969e-13
"x[ccg,ccg_sp,rg_tk,5]",8708.16367239093,8708.16367239093,6676.93421351394,6676.93421351381,6676.93421351381,6676.93421351382,8708.16367239095,0,8708.16367239097,8708.16367239092
"x[ccg,ccg_tk,ccg_sp,1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[ccg,ccg_tk,ccg_sp,2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[ccg,ccg_tk,ccg_sp,3]",-1.76498318245833e-12,4956.52173913042,0.0,0.0,0.0,0.0,-3.57902213538177e-12,0,0.0,-9.24120397507801e-12
"x[ccg,ccg_tk,ccg_sp,4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[ccg,ccg_tk,ccg_sp,5]",3.42626930775631e-12,0.0,1.02788079232689e-11,0.0,0.0,0.0,3.42626930775631e-12,0,0.0,0.0
"x[crude,crude_source,ad,1]",100000.0,100000.0,100000.0,100000.0,80015.4722284589,100000.0,100000.0,0,100000.0,100000.0
"x[crude,crude_source,ad,2]",100000.0,39677.6571698846,100000.0,100000.0,100000.0,39926.2479423153,100000.0,0,100000.0,100000.0
"x[crude,crude_source,ad,3]",46411.5127997499,34656.310189132,100000.0,100000.0,100000.0,100000.0,46411.5127997499,0,100000.0,100000.0
"x[crude,crude_source,ad,4]",100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,0,54901.9730588208,52030.3662659066
"x[crude,crude_source,ad,5]",100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,0,100000.0,100000.0
"x[df_prod,df_tk,df_out,1]",10000.0,10000.0,12491.0,12491.0,10000.0,10000.0,10000.0,0,10000.0,10000.0
"x[df_prod,df_tk,df_out,2]",10000.0,19958.4194095157,12491.0,31336.1228758197,12491.0,20279.6685678514,10000.0,0,10000.0,10000.0
"x[df_prod,df_tk,df_out,3]",30501.9018589528,11157.7589845233,25160.9504585471,25160.950458547,25160.9504585469,25160.950458547,30501.9018589527,0,10000.0,10000.0
"x[df_prod,df_tk,df_out,4]",12491.0,12491.0,12491.0,12491.0,12491.0,12491.0,12491.0,0,43884.7732489393,39358.4762968836
"x[df_prod,df_tk,df_out,5]",12491.0,12491.0,12491.0,12491.0,12491.0,12491.0,12491.0,0,12491.0,12491.0
"x[fg,ad,fg_sink,1]",3542000.0,3542000.0,3542000.0,3542000.0,2834148.02633201,3542000.0,3542000.0,0,3542000.0,3542000.0
"x[fg,ad,fg_sink,2]",3542000.0,1405382.61695731,3542000.0,3542000.0,3542000.0,1414187.70211681,3542000.0,0,3542000.0,3542000.0
"x[fg,ad,fg_sink,3]",1643895.78336714,1227526.50689906,3542000.0,3542000.0,3542000.0,3542000.0,1643895.78336714,0,3542000.0,3542000.0
"x[fg,ad,fg_sink,4]",3542000.0,3542000.0,3542000.0,3542000.0,3542000.0,3542000.0,3542000.0,0,1944627.88574343,1842915.57313841
"x[fg,ad,fg_sink,5]",3542000.0,3542000.0,3542000.0,3542000.0,3542000.0,3542000.0,3542000.0,0,3542000.0,3542000.0
"x[fg,cc,fg_sink,1]",11592000.0,11592000.0,11592000.0,11592000.0,0.0,11592000.0,11592000.0,0,11592000.0,11592000.0
